"ALIAS","ENSEMBL","ENTREZID"
"AADACL1","ENSG00000144959","57552"
"ABCF1","ENSG00000204574","23"
"ABCF1","ENSG00000225989","23"
"ABCF1","ENSG00000232169","23"
"ABCF1","ENSG00000206490","23"
"ABCF1","ENSG00000236149","23"
"ABCF1","ENSG00000236342","23"
"ABCF1","ENSG00000231129","23"
"ACPP","ENSG00000014257","55"
"ACSS3","ENSG00000111058","79611"
"ACTN4","ENSG00000130402","81"
"ACTN4","ENSG00000282844","81"
"ADAM10","ENSG00000137845","102"
"ADAM12","ENSG00000148848","8038"
"ADAM19","ENSG00000135074","8728"
"ADAM9","ENSG00000168615","8754"
"ADAM9","ENSG00000282230","8754"
"ADPGK","ENSG00000159322","83440"
"AIF1","ENSG00000204472","199"
"AIF1","ENSG00000237727","199"
"AIF1","ENSG00000206428","199"
"AIF1","ENSG00000235588","199"
"AIF1","ENSG00000234836","199"
"AIF1","ENSG00000235985","199"
"ALOX5","ENSG00000012779","240"
"ALOX5","ENSG00000275565","240"
"ALS2CR13","ENSG00000138439","150864"
"AMOTL2","ENSG00000114019","51421"
"ANKRD25","ENSG00000197256","25959"
"ANXA1","ENSG00000135046","301"
"ANXA2P2",NA,"304"
"ANXA5","ENSG00000164111","308"
"ARAP3","ENSG00000120318","64411"
"ARHGAP15","ENSG00000075884","55843"
"ARHGAP30","ENSG00000186517","257106"
"ARHGEF9","ENSG00000131089","23229"
"ARNTL","ENSG00000133794","406"
"ATP1A3","ENSG00000105409","478"
"ATP6V0A4","ENSG00000105929","50617"
"BCAS1","ENSG00000064787","8537"
"BCKDHB","ENSG00000083123","594"
"BCL7A","ENSG00000110987","605"
"BCL7A","ENSG00000282873","605"
"BOP1","ENSG00000261236","23246"
"BRSK2","ENSG00000174672","9024"
"C11orf95","ENSG00000188070","65998"
"C16orf80","ENSG00000070761","29105"
"C19orf66","ENSG00000130813","55337"
"C1orf38","ENSG00000130775","9473"
"C1RL","ENSG00000139178","51279"
"C1S","ENSG00000182326","716"
"C20orf42","ENSG00000101311","55612"
"C2orf12","ENSG00000153250","5937"
"C2orf68","ENSG00000168887","388969"
"C2orf72","ENSG00000204128","257407"
"C5AR1","ENSG00000197405","728"
"C6orf141","ENSG00000197261","135398"
"C9orf140","ENSG00000186193","89958"
"CA12","ENSG00000074410","771"
"CAMKV","ENSG00000164076","79012"
"CAMSAP1","ENSG00000130559","157922"
"CAMSAP2","ENSG00000118200","23271"
"CAPG","ENSG00000042493","822"
"CAPG","ENSG00000109805","64151"
"CARD9","ENSG00000187796","64170"
"CAST","ENSG00000153113","831"
"CAST","ENSG00000117877","10849"
"CAST","ENSG00000187672","26059"
"CBS","ENSG00000160200","875"
"CCDC109B","ENSG00000005059","55013"
"CCL2","ENSG00000108691","6347"
"CCR2","ENSG00000121807","729230"
"CD151","ENSG00000177697","977"
"CD33","ENSG00000105383","945"
"CD44","ENSG00000026508","960"
"CD58","ENSG00000116815","965"
"CD68","ENSG00000129226","968"
"CD86","ENSG00000114013","942"
"CD97","ENSG00000123146","976"
"CDC42","ENSG00000070831","998"
"CDH4","ENSG00000179242","1002"
"CDH4","ENSG00000280641","1002"
"CDK5R1","ENSG00000176749","8851"
"CEBPB","ENSG00000172216","1051"
"CEBPD","ENSG00000221869","1052"
"CECR5","ENSG00000069998","27440"
"CFB","ENSG00000243649","629"
"CFB","ENSG00000239754","629"
"CFB","ENSG00000204359","629"
"CFB","ENSG00000241253","629"
"CFB","ENSG00000243570","629"
"CFB","ENSG00000242335","629"
"CFB","ENSG00000241534","629"
"CFD","ENSG00000197766","1675"
"CFD","ENSG00000274619","1675"
"CFD","ENSG00000115020","200576"
"CFH","ENSG00000000971","3075"
"CHD7","ENSG00000171316","55636"
"CHI3L1","ENSG00000133048","1116"
"CHPF2","ENSG00000033100","54480"
"CHSY1","ENSG00000131873","22856"
"CYBRD1","ENSG00000071967","79901"
"CYP1B1","ENSG00000138061","1545"
"CYTH4","ENSG00000100055","27128"
"CKMT1A","ENSG00000223572","548596"
"CLCF1","ENSG00000175505","23529"
"CLDN10","ENSG00000134873","9071"
"CLDN23","ENSG00000253958","137075"
"CLEC2B","ENSG00000110852","9976"
"CLEC2B","ENSG00000165682","51266"
"CLIC1","ENSG00000213719","1192"
"CLIC1","ENSG00000223639","1192"
"CLIC1","ENSG00000206394","1192"
"CLIC1","ENSG00000226651","1192"
"CLIC1","ENSG00000230685","1192"
"CLIC1","ENSG00000226417","1192"
"CLIC1","ENSG00000226248","1192"
"CMKLR1","ENSG00000174600","1240"
"CMTM7","ENSG00000153551","112616"
"COL1A2","ENSG00000164692","1278"
"COL5A1","ENSG00000130635","1289"
"COL8A2","ENSG00000171812","1296"
"COP1","ENSG00000143207","64326"
"COP1","ENSG00000204397","114769"
"COQ10B","ENSG00000115520","80219"
"CPD","ENSG00000108582","1362"
"CPD","ENSG00000103942","9455"
"CPQ","ENSG00000104324","10404"
"CPVL","ENSG00000106066","54504"
"CRB1","ENSG00000134376","23418"
"CREB3L2","ENSG00000182158","64764"
"CRIPT","ENSG00000119878","9419"
"CRMP1","ENSG00000072832","1400"
"CSDA","ENSG00000060138","8531"
"CSPG5","ENSG00000114646","10675"
"CSTA","ENSG00000121552","1475"
"CSTB","ENSG00000160213","1476"
"CTBS","ENSG00000117151","1486"
"CTSL1","ENSG00000135047","1514"
"CTSS","ENSG00000163131","1520"
"CTSZ","ENSG00000101160","1522"
"CTTNBP2","ENSG00000077063","83992"
"CXCL14","ENSG00000145824","9547"
"CXorf1","ENSG00000185985","84631"
"CXXC4","ENSG00000168772","80319"
"DCBLD2","ENSG00000057019","131566"
"DDIT4L","ENSG00000145358","115265"
"DDX42","ENSG00000198231","11325"
"DYNLT3","ENSG00000165169","6990"
"DKK1","ENSG00000107984","22943"
"DLL1","ENSG00000198719","28514"
"DLL1","ENSG00000275555","28514"
"DLL3","ENSG00000090932","10683"
"DNAJB5","ENSG00000137094","25822"
"DNM3","ENSG00000197959","26052"
"DOK3","ENSG00000146094","79930"
"DOK6","ENSG00000206052","220164"
"DPF1","ENSG00000011332","8193"
"DPF3","ENSG00000205683","8110"
"DPYSL4","ENSG00000151640","10570"
"DRAM","ENSG00000136048","55332"
"DUSP23","ENSG00000158716","54935"
"DUSP23","ENSG00000110536","114971"
"DUSP26","ENSG00000133878","78986"
"DUSP26","ENSG00000188542","285193"
"E2F3","ENSG00000112242","1871"
"EEF2","ENSG00000167658","1938"
"EGFR","ENSG00000146648","1956"
"EHBP1L1","ENSG00000173442","254102"
"EHMT2","ENSG00000204371","10919"
"EHMT2","ENSG00000236759","10919"
"EHMT2","ENSG00000206376","10919"
"EHMT2","ENSG00000238134","10919"
"EHMT2","ENSG00000224143","10919"
"EHMT2","ENSG00000232045","10919"
"EHMT2","ENSG00000227333","10919"
"EYA1","ENSG00000104313","2138"
"ELF4","ENSG00000102034","2000"
"ELK3","ENSG00000111145","2004"
"ELMO1","ENSG00000155849","9844"
"EMILIN1","ENSG00000138080","11117"
"EMP1","ENSG00000134531","2012"
"EMP3","ENSG00000142227","2014"
"EMR2","ENSG00000127507","30817"
"EP400","ENSG00000183495","57634"
"EPHB1","ENSG00000154928","2047"
"EVC","ENSG00000072840","2121"
"EVC2","ENSG00000173040","132884"
"EVI2A","ENSG00000126860","2123"
"EVI2B","ENSG00000185862","2124"
"F13A1","ENSG00000124491","2162"
"FAM107B","ENSG00000065809","83641"
"FAM129A","ENSG00000135842","116496"
"FAM77C","ENSG00000084628","79570"
"FAS","ENSG00000026103","355"
"FAS","ENSG00000169710","2194"
"FBXO21","ENSG00000135108","23014"
"FCGR2B","ENSG00000072694","2213"
"FERMT1","ENSG00000101311","55612"
"FES","ENSG00000182511","2242"
"FGF9","ENSG00000102678","2254"
"FGGY","ENSG00000172456","55277"
"FHOD3","ENSG00000134775","80206"
"FHOD3","ENSG00000161791","91010"
"FKBP11","ENSG00000134285","51303"
"FLJ20273",NA,NA
"FLJ21963",NA,NA
"FLJ22662",NA,NA
"FLNA","ENSG00000196924","2316"
"FOLR2","ENSG00000165457","2350"
"FSD1","ENSG00000105255","79187"
"FSTL1","ENSG00000163430","11167"
"FTL","ENSG00000087086","2512"
"FUCA1","ENSG00000179163","2517"
"FUCA2","ENSG00000001036","2519"
"FZD7","ENSG00000155760","8324"
"GADD45G","ENSG00000130222","10912"
"GALNS","ENSG00000141012","2588"
"GALNT2","ENSG00000143641","2590"
"GAS1","ENSG00000180447","2619"
"GCNT1","ENSG00000187210","2650"
"GDAP1L1","ENSG00000124194","78997"
"GJA1","ENSG00000152661","2697"
"GLG1","ENSG00000090863","2734"
"GLT25D1","ENSG00000130309","79709"
"GMFG","ENSG00000130755","9535"
"GNAI1","ENSG00000127955","2770"
"GNG4","ENSG00000168243","2786"
"GNG4","ENSG00000282972","2786"
"GPATCH8","ENSG00000186566","23131"
"GPR161","ENSG00000143147","23432"
"GPR17","ENSG00000144230","2840"
"GPSM2","ENSG00000121957","29899"
"GSTA4","ENSG00000170899","2941"
"GUSB","ENSG00000169919","2990"
"HEG1","ENSG00000173706","57493"
"HES1","ENSG00000114315","3280"
"HES1","ENSG00000160221","8209"
"HES5","ENSG00000197921","388585"
"HES5","ENSG00000273529","388585"
"HES6","ENSG00000144485","55502"
"HFE","ENSG00000010704","3077"
"HGSNAT","ENSG00000165102","138050"
"HMGB3","ENSG00000029993","3149"
"HNRNPD","ENSG00000138668","3184"
"HNRNPH3","ENSG00000096746","3189"
"HNRNPR","ENSG00000125944","10236"
"HNRNPR","ENSG00000282958","10236"
"HNRNPUL1","ENSG00000105323","11100"
"HNRPA3",NA,"10151"
"HNRPA3","ENSG00000170144","220988"
"HNRPDL","ENSG00000152795","9987"
"HNRPH3","ENSG00000096746","3189"
"HNRPM","ENSG00000099783","4670"
"HOXD1","ENSG00000128645","3231"
"HOXD3","ENSG00000128652","3232"
"HPRT1","ENSG00000165704","3251"
"HRASLS","ENSG00000127252","57110"
"HRH1","ENSG00000067596","1659"
"HRH1","ENSG00000196639","3269"
"HRH1","ENSG00000134815","9704"
"HSF2","ENSG00000025156","3298"
"YBX1","ENSG00000065978","4904"
"ICAM1","ENSG00000090339","3383"
"ICK","ENSG00000112144","22858"
"IER3","ENSG00000137331","8870"
"IER3","ENSG00000230128","8870"
"IER3","ENSG00000237155","8870"
"IER3","ENSG00000235030","8870"
"IER3","ENSG00000227231","8870"
"IER3","ENSG00000206478","8870"
"IER5","ENSG00000162783","51278"
"IGFBP6","ENSG00000167779","3489"
"IL10RB","ENSG00000243646","3588"
"IL13RA1","ENSG00000131724","3597"
"IL15","ENSG00000164136","3600"
"IL15RA","ENSG00000134470","3601"
"ILF3","ENSG00000129351","3609"
"YPEL1","ENSG00000100027","29799"
"IQGAP1","ENSG00000140575","8826"
"IRS2","ENSG00000185950","8660"
"ITGA7","ENSG00000135424","3679"
"ITGAM","ENSG00000169896","3684"
"ITGB8","ENSG00000105855","3696"
"JAK3","ENSG00000105639","3718"
"JMJD2B","ENSG00000127663","23030"
"KANK2","ENSG00000197256","25959"
"KCNF1","ENSG00000162975","3754"
"KCNH8","ENSG00000183960","131096"
"KDM4B","ENSG00000127663","23030"
"KHNYN","ENSG00000100441","23351"
"KIAA1166","ENSG00000126970","55906"
"KIAA1549","ENSG00000122778","57670"
"KIF21B","ENSG00000116852","23046"
"KIF2A","ENSG00000068796","3796"
"KLHDC9","ENSG00000162755","126823"
"KLRC2","ENSG00000205809","3822"
"KLRC3","ENSG00000205810","3823"
"L1CAM","ENSG00000198910","3897"
"LAMA2","ENSG00000196569","3908"
"LAMB1","ENSG00000091136","3912"
"LAMB2","ENSG00000172037","3913"
"LAMB2","ENSG00000135862","3915"
"LAMB2","ENSG00000176619","84823"
"LCP2","ENSG00000043462","3937"
"LEPROT","ENSG00000213625","54741"
"LGALS1","ENSG00000100097","3956"
"LHFPL2","ENSG00000145685","10184"
"LY96","ENSG00000154589","23643"
"LIF","ENSG00000128342","3976"
"LILRB3","ENSG00000204577","11025"
"LILRB3","ENSG00000274587","11025"
"LILRB3","ENSG00000275019","11025"
"LILRB3","ENSG00000277816","11025"
"LILRB3","ENSG00000244482","79168"
"LILRB3","ENSG00000277177","79168"
"LILRB3","ENSG00000274148","79168"
"LILRB3","ENSG00000275539","79168"
"LILRB3","ENSG00000275584","79168"
