"Refseq","mixed"
"hsa-miR-135a-5p",1.02198951340389e-06
"hsa-miR-142-3p",1.20263429891405e-05
"hsa-miR-140-5p",1.22174968913649e-05
"hsa-miR-106b-5p",4.58187309706525e-05
"hsa-miR-130b-3p",4.58187309706525e-05
"hsa-miR-30e-5p",4.58187309706525e-05
"hsa-miR-363-3p",4.58187309706525e-05
"hsa-miR-302b-3p",4.58187309706525e-05
"hsa-miR-302c-3p",4.58187309706525e-05
"hsa-miR-146b-5p",4.58187309706525e-05
"hsa-miR-193b-3p",4.58187309706525e-05
"hsa-miR-497-5p",4.58187309706525e-05
"hsa-miR-181d-5p",4.58187309706525e-05
"hsa-miR-520a-3p",4.58187309706525e-05
"hsa-miR-301b",4.58187309706525e-05
"hsa-miR-18a-5p",4.84874571894225e-05
"hsa-miR-133b",4.84874571894225e-05
"hsa-miR-3666",4.84874571894225e-05
"hsa-miR-10a-5p",9.25851044868144e-05
"hsa-miR-29c-3p",9.25851044868144e-05
