"Refseq","mixed"
"hsa-miR-135a-5p",3.73887893933393e-09
"hsa-miR-29a-3p",3.86424580857142e-07
"hsa-miR-100-5p",3.86424580857142e-07
"hsa-miR-200c-3p",3.86424580857142e-07
"hsa-miR-18a-5p",6.81987900820273e-07
"hsa-miR-133b",6.81987900820273e-07
"hsa-miR-3666",6.81987900820273e-07
"hsa-miR-139-5p",1.14951555516266e-06
"hsa-miR-7-5p",1.14951555516266e-06
"hsa-miR-15a-5p",2.5181522669063e-06
"hsa-miR-16-5p",2.5181522669063e-06
"hsa-let-7i-5p",2.5181522669063e-06
"hsa-miR-190a-5p",2.5181522669063e-06
"hsa-miR-148b-3p",2.5181522669063e-06
"hsa-miR-451a",2.5181522669063e-06
"hsa-miR-122-5p",5.26137325839633e-06
"hsa-miR-191-5p",5.26137325839633e-06
"hsa-miR-208b-3p",5.26137325839633e-06
"hsa-miR-140-5p",1.22174968913649e-05
"hsa-miR-106b-5p",3.48539301909588e-05
