"Refseq","mixed"
"hsa-miR-135a-5p",1.16711926064336e-09
"hsa-miR-18a-5p",5.10611018491024e-07
"hsa-miR-133b",5.10611018491024e-07
"hsa-miR-3666",5.10611018491024e-07
"hsa-miR-15a-5p",1.57584817228823e-06
"hsa-miR-16-5p",1.57584817228823e-06
"hsa-let-7i-5p",1.57584817228823e-06
"hsa-miR-190a-5p",1.57584817228823e-06
"hsa-miR-148b-3p",1.57584817228823e-06
"hsa-miR-451a",1.57584817228823e-06
"hsa-miR-187-3p",1.64297074503903e-06
"hsa-miR-29a-3p",1.31092592173093e-05
"hsa-miR-100-5p",1.31092592173093e-05
"hsa-miR-200c-3p",1.31092592173093e-05
"hsa-miR-106b-5p",1.48980908968423e-05
"hsa-miR-130b-3p",1.48980908968423e-05
"hsa-miR-30e-5p",1.48980908968423e-05
"hsa-miR-363-3p",1.48980908968423e-05
"hsa-miR-302b-3p",1.48980908968423e-05
"hsa-miR-302c-3p",1.48980908968423e-05
