"Refseq","mixed"
"hsa-miR-18a-5p",5.28925822616484e-09
"hsa-miR-133b",5.28925822616484e-09
"hsa-miR-3666",5.28925822616484e-09
"hsa-miR-135a-5p",5.79604982686443e-08
"hsa-miR-142-3p",1.40481333034017e-06
"hsa-miR-139-5p",1.31468354945636e-05
"hsa-miR-7-5p",1.31468354945636e-05
"hsa-miR-30c-5p",4.53860735349828e-05
"hsa-miR-199b-5p",5.2193423693541e-05
"hsa-miR-205-5p",5.2193423693541e-05
"hsa-miR-140-5p",5.32968274988749e-05
"hsa-miR-122-5p",6.23488847503719e-05
"hsa-miR-191-5p",6.23488847503719e-05
"hsa-miR-208b-3p",6.23488847503719e-05
"hsa-miR-29a-3p",9.16710219367212e-05
"hsa-miR-100-5p",9.16710219367212e-05
"hsa-miR-200c-3p",9.16710219367212e-05
"hsa-miR-24-3p",0.000166390706004565
"hsa-miR-152-3p",0.000270608057479411
"hsa-miR-208a-3p",0.000393855859745338
