"Refseq","mixed"
"hsa-miR-135a-5p",5.81167450519502e-09
"hsa-miR-18a-5p",6.77710125053578e-09
"hsa-miR-133b",6.77710125053578e-09
"hsa-miR-3666",6.77710125053578e-09
"hsa-miR-30c-5p",4.40655398872076e-06
"hsa-miR-142-3p",5.61182634340223e-06
"hsa-miR-139-5p",1.04150075658309e-05
"hsa-miR-7-5p",1.04150075658309e-05
"hsa-miR-106b-5p",1.18222362280974e-05
"hsa-miR-130b-3p",1.18222362280974e-05
"hsa-miR-30e-5p",1.18222362280974e-05
"hsa-miR-363-3p",1.18222362280974e-05
"hsa-miR-302b-3p",1.18222362280974e-05
"hsa-miR-302c-3p",1.18222362280974e-05
"hsa-miR-146b-5p",1.18222362280974e-05
"hsa-miR-193b-3p",1.18222362280974e-05
"hsa-miR-497-5p",1.18222362280974e-05
"hsa-miR-181d-5p",1.18222362280974e-05
"hsa-miR-520a-3p",1.18222362280974e-05
"hsa-miR-301b",1.18222362280974e-05
