"Refseq","mixed"
"hsa-miR-18a-5p",8.36510310716512e-08
"hsa-miR-133b",8.36510310716512e-08
"hsa-miR-3666",8.36510310716512e-08
"hsa-miR-135a-5p",2.38486866051758e-07
"hsa-miR-142-3p",1.7577694895011e-06
"hsa-miR-30c-5p",7.16387805046323e-06
"hsa-miR-199b-5p",1.17523092125087e-05
"hsa-miR-205-5p",1.17523092125087e-05
"hsa-miR-140-5p",2.99127135593626e-05
"hsa-miR-139-5p",0.000115841589394956
"hsa-miR-7-5p",0.000115841589394956
"hsa-miR-29a-3p",0.000191308795591295
"hsa-miR-100-5p",0.000191308795591295
"hsa-miR-200c-3p",0.000191308795591295
"hsa-miR-15a-5p",0.000212627309159697
"hsa-miR-16-5p",0.000212627309159697
"hsa-let-7i-5p",0.000212627309159697
"hsa-miR-190a-5p",0.000212627309159697
"hsa-miR-148b-3p",0.000212627309159697
"hsa-miR-451a",0.000212627309159697
