"Refseq","mixed"
"hsa-miR-221-3p",7.34048174033957e-10
"hsa-miR-222-3p",7.34048174033957e-10
"hsa-miR-210-3p",2.99465991925767e-07
"hsa-miR-192-5p",5.53480064869019e-05
"hsa-miR-215-5p",5.53480064869019e-05
"hsa-miR-199a-5p",0.00010957735061914
"hsa-miR-199b-5p",0.00010957735061914
"hsa-miR-217",0.0001905581414448
"hsa-miR-200b-3p",0.000201106380303699
"hsa-miR-206",0.000201106380303699
"hsa-miR-20b-5p",0.000201106380303699
"hsa-miR-30a-5p",0.000202792212848106
"hsa-miR-30c-5p",0.000202792212848106
"hsa-miR-30d-5p",0.000202792212848106
"hsa-miR-30b-5p",0.000202792212848106
"hsa-miR-130b-3p",0.000202792212848106
"hsa-miR-205-5p",0.000278733196685482
"hsa-miR-9-5p",0.000338268638304471
"hsa-miR-204-5p",0.000440684472762315
"hsa-miR-211-5p",0.000440684472762315
