"Refseq","mixed"
"hsa-miR-221-3p",1.43350085460818e-08
"hsa-miR-222-3p",1.43350085460818e-08
"hsa-miR-210-3p",8.95427809680792e-06
"hsa-let-7a-5p",1.54908813020592e-05
"hsa-let-7b-5p",1.54908813020592e-05
"hsa-let-7c-5p",1.54908813020592e-05
"hsa-let-7d-5p",1.54908813020592e-05
"hsa-let-7e-5p",1.54908813020592e-05
"hsa-let-7f-5p",1.54908813020592e-05
"hsa-miR-98-5p",1.54908813020592e-05
"hsa-let-7g-5p",1.54908813020592e-05
"hsa-let-7i-5p",1.54908813020592e-05
"hsa-miR-3666",1.54908813020592e-05
"hsa-miR-4465",1.54908813020592e-05
"hsa-miR-217",2.18307305176115e-05
"hsa-miR-200b-3p",6.91299251834415e-05
"hsa-miR-206",6.91299251834415e-05
"hsa-miR-20b-5p",6.91299251834415e-05
"hsa-miR-182-5p",0.000113759283976346
"hsa-miR-31-5p",0.00015229620008639
