"Refseq","mixed"
"hsa-let-7a-5p",1.89900615611585e-06
"hsa-let-7b-5p",1.89900615611585e-06
"hsa-let-7c-5p",1.89900615611585e-06
"hsa-let-7d-5p",1.89900615611585e-06
"hsa-let-7e-5p",1.89900615611585e-06
"hsa-let-7f-5p",1.89900615611585e-06
"hsa-miR-98-5p",1.89900615611585e-06
"hsa-let-7g-5p",1.89900615611585e-06
"hsa-let-7i-5p",1.89900615611585e-06
"hsa-miR-3666",1.89900615611585e-06
"hsa-miR-4465",1.89900615611585e-06
"hsa-miR-221-3p",1.10714548906824e-05
"hsa-miR-222-3p",1.10714548906824e-05
"hsa-miR-181a-5p",1.29638677138956e-05
"hsa-miR-181b-5p",1.29638677138956e-05
"hsa-miR-181c-5p",1.29638677138956e-05
"hsa-miR-497-5p",1.29638677138956e-05
"hsa-miR-4319",1.29638677138956e-05
"hsa-miR-200b-3p",1.45660863757521e-05
"hsa-miR-206",1.45660863757521e-05
