"Refseq","mixed"
"hsa-miR-221-3p",1.59153964060149e-07
"hsa-miR-222-3p",1.59153964060149e-07
"hsa-miR-210-3p",1.52217322799034e-06
"hsa-miR-27a-3p",1.91880210824066e-05
"hsa-miR-27b-3p",1.91880210824066e-05
"hsa-miR-182-5p",1.95750523851506e-05
"hsa-miR-200b-3p",2.30211343233463e-05
"hsa-miR-206",2.30211343233463e-05
"hsa-miR-20b-5p",2.30211343233463e-05
"hsa-miR-199a-5p",3.46419041741206e-05
"hsa-miR-199b-5p",3.46419041741206e-05
"hsa-miR-217",3.48535271955089e-05
"hsa-miR-146a-5p",9.01150292656691e-05
"hsa-miR-192-5p",0.000107525649987235
"hsa-miR-215-5p",0.000107525649987235
"hsa-miR-31-5p",0.000107975795112618
"hsa-miR-181a-5p",0.000196531344427447
"hsa-miR-181b-5p",0.000196531344427447
"hsa-miR-181c-5p",0.000196531344427447
"hsa-miR-497-5p",0.000196531344427447
