"Refseq","mixed"
"hsa-miR-190a-5p",0.000111229467103817
"hsa-miR-146b-5p",0.000111229467103817
"hsa-miR-212-3p",0.000308125724215253
"hsa-miR-132-3p",0.000308125724215253
"hsa-miR-29a-3p",0.000449209618663244
"hsa-miR-29b-3p",0.000449209618663244
"hsa-miR-106b-5p",0.000449209618663244
"hsa-miR-124-3p",0.00102970226787561
"hsa-miR-503-5p",0.00102970226787561
"hsa-miR-33a-5p",0.00559288857165651
"hsa-miR-613",0.00559288857165651
"hsa-miR-22-3p",0.00745824678576536
"hsa-miR-148b-3p",0.00867411190647002
"hsa-miR-103a-3p",0.00970226089886401
"hsa-miR-107",0.00970226089886401
"hsa-miR-125b-5p",0.0116419373250211
"hsa-miR-125a-5p",0.0116419373250211
"hsa-miR-4295",0.0116419373250211
"hsa-miR-21-5p",0.012194297550658
"hsa-miR-551b-3p",0.012194297550658
